#####137	traces-2016-04-07-18-32-28.dat.root	carbon
#####138	traces-2016-04-07-19-33-10.dat.root	carbon
#####139	traces-2016-04-07-20-34-56.dat.root	carbon
263     traces-2016-04-18-15-31-09.dat.root	deuterium
264     traces-2016-04-18-16-32-10.dat.root	deuterium
265     traces-2016-04-18-17-32-54.dat.root	deuterium
266     traces-2016-04-18-18-34-56.dat.root	deuterium
267     traces-2016-04-18-19-37-25.dat.root	deuterium
268     traces-2016-04-18-20-37-45.dat.root	deuterium
269     traces-2016-04-18-21-38-32.dat.root	deuterium
270     traces-2016-04-18-22-40-37.dat.root	deuterium
271     traces-2016-04-18-23-42-25.dat.root	deuterium
272     traces-2016-04-19-00-42-37.dat.root	deuterium
273     traces-2016-04-19-01-46-28.dat.root	deuterium
274     traces-2016-04-19-02-46-03.dat.root	deuterium
275     traces-2016-04-19-03-46-08.dat.root	deuterium
276     traces-2016-04-19-04-46-50.dat.root	deuterium
277     traces-2016-04-19-05-46-18.dat.root	deuterium
278     traces-2016-04-19-06-46-28.dat.root	deuterium
279     traces-2016-04-19-07-46-02.dat.root	deuterium
280     traces-2016-04-19-08-45-17.dat.root	deuterium
281     traces-2016-04-19-09-46-24.dat.root	deuterium
282     traces-2016-04-19-12-08-11.dat.root	deuterium
283     traces-2016-04-19-13-09-03.dat.root	deuterium
284     traces-2016-04-19-14-10-36.dat.root	deuterium
285     traces-2016-04-19-15-11-28.dat.root	deuterium
286     traces-2016-04-19-16-12-17.dat.root	deuterium
287     traces-2016-04-19-17-13-40.dat.root	deuterium
288     traces-2016-04-19-18-15-01.dat.root	deuterium
289     traces-2016-04-19-19-16-22.dat.root	deuterium
290     traces-2016-04-19-20-16-46.dat.root	deuterium
291     traces-2016-04-19-21-16-17.dat.root	deuterium
292     traces-2016-04-19-22-16-36.dat.root	deuterium
293     traces-2016-04-19-23-16-11.dat.root	deuterium
294     traces-2016-04-20-00-16-09.dat.root	deuterium
295     traces-2016-04-20-01-16-12.dat.root	deuterium
299     traces-2016-04-20-04-27-33.dat.root	deuterium
300     traces-2016-04-20-05-28-22.dat.root	deuterium
301     traces-2016-04-20-06-26-18.dat.root	deuterium
302     traces-2016-04-20-07-26-26.dat.root	deuterium
303     traces-2016-04-20-08-35-06.dat.root	deuterium
304     traces-2016-04-20-09-37-02.dat.root	deuterium
305     traces-2016-04-20-10-38-17.dat.root	deuterium
306     traces-2016-04-20-11-39-26.dat.root	deuterium
307     traces-2016-04-20-12-40-33.dat.root	deuterium
308     traces-2016-04-20-13-41-44.dat.root	deuterium
309     traces-2016-04-20-14-43-57.dat.root	deuterium
310     traces-2016-04-20-15-44-09.dat.root	deuterium
311     traces-2016-04-20-16-46-13.dat.root	deuterium
312     traces-2016-04-20-17-47-09.dat.root	deuterium
313     traces-2016-04-20-18-48-57.dat.root	deuterium
314     traces-2016-04-20-20-09-00.dat.root	empty
315     traces-2016-04-20-21-09-03.dat.root	empty
316     traces-2016-04-20-22-09-12.dat.root	empty
317     traces-2016-04-20-23-09-11.dat.root	empty
318     traces-2016-04-21-00-09-14.dat.root	empty
319     traces-2016-04-21-01-09-37.dat.root	empty
320     traces-2016-04-21-02-09-03.dat.root	empty
321     traces-2016-04-21-03-20-58.dat.root	empty
322     traces-2016-04-21-04-21-32.dat.root	empty
323     traces-2016-04-21-05-21-29.dat.root	empty
324     traces-2016-04-21-06-21-13.dat.root	empty
325     traces-2016-04-21-07-21-22.dat.root	empty
326     traces-2016-04-21-08-21-19.dat.root	empty
327     traces-2016-04-21-09-20-24.dat.root	empty
328     traces-2016-04-21-11-33-35.dat.root	empty
329     traces-2016-04-21-12-21-48.dat.root	empty
330     traces-2016-04-21-13-23-00.dat.root	empty
331     traces-2016-04-21-14-28-41.dat.root	empty
332     traces-2016-04-21-14-49-31.dat.root	empty
333     traces-2016-04-21-15-50-34.dat.root	empty
334     traces-2016-04-21-16-51-51.dat.root	empty
335     traces-2016-04-21-17-52-33.dat.root	empty
336     traces-2016-04-21-18-53-34.dat.root	empty
337     traces-2016-04-21-19-58-47.dat.root	deuterium
338     traces-2016-04-21-20-58-22.dat.root	deuterium
339     traces-2016-04-21-21-58-27.dat.root	deuterium
340     traces-2016-04-21-22-58-02.dat.root	deuterium
341     traces-2016-04-21-23-58-12.dat.root	deuterium
342     traces-2016-04-22-00-58-07.dat.root	deuterium
343     traces-2016-04-22-01-58-13.dat.root	deuterium
344     traces-2016-04-22-02-58-30.dat.root	deuterium
345     traces-2016-04-22-03-58-10.dat.root	deuterium
346     traces-2016-04-22-04-58-13.dat.root	deuterium
347     traces-2016-04-22-05-59-01.dat.root	deuterium
348     traces-2016-04-22-06-58-23.dat.root	deuterium
349     traces-2016-04-22-07-58-16.dat.root	deuterium
350     traces-2016-04-22-09-00-31.dat.root	deuterium
351     traces-2016-04-22-10-01-15.dat.root	deuterium
352     traces-2016-04-22-12-16-39.dat.root	deuterium
353     traces-2016-04-22-12-51-41.dat.root	deuterium
354     traces-2016-04-22-13-52-27.dat.root	deuterium
355     traces-2016-04-22-14-53-14.dat.root	deuterium
356     traces-2016-04-22-15-55-06.dat.root	deuterium
357     traces-2016-04-22-16-51-04.dat.root	deuterium
358     traces-2016-04-22-17-54-27.dat.root	deuterium
359     traces-2016-04-22-19-04-37.dat.root	deuterium
360     traces-2016-04-22-19-56-10.dat.root	deuterium
361     traces-2016-04-22-20-58-16.dat.root	deuterium
362     traces-2016-04-25-09-24-19.dat.root	deuterium
363     traces-2016-04-25-10-25-17.dat.root	deuterium
364     traces-2016-04-25-11-26-00.dat.root	deuterium
365     traces-2016-04-25-12-26-40.dat.root	deuterium
366     traces-2016-04-25-13-27-17.dat.root	deuterium
367     traces-2016-04-25-15-37-23.dat.root	deuterium
368     traces-2016-04-25-16-39-40.dat.root	deuterium
369     traces-2016-04-25-17-40-59.dat.root	deuterium
370     traces-2016-04-25-18-41-56.dat.root	deuterium
371     traces-2016-04-25-19-42-44.dat.root	deuterium
372     traces-2016-04-25-20-42-09.dat.root	deuterium
373     traces-2016-04-25-21-42-08.dat.root	deuterium
374     traces-2016-04-25-22-42-52.dat.root	deuterium
375     traces-2016-04-25-23-42-12.dat.root	deuterium
376     traces-2016-04-26-00-42-15.dat.root	deuterium
377     traces-2016-04-26-01-42-11.dat.root	deuterium
378     traces-2016-04-26-02-42-30.dat.root	deuterium
379     traces-2016-04-26-03-42-07.dat.root	deuterium
380     traces-2016-04-26-04-41-27.dat.root	deuterium
381     traces-2016-04-26-05-41-21.dat.root	deuterium
382     traces-2016-04-26-06-41-20.dat.root	deuterium
383     traces-2016-04-26-07-41-16.dat.root	deuterium
384     traces-2016-04-26-08-41-58.dat.root	deuterium
385     traces-2016-04-26-09-42-39.dat.root	deuterium
386     traces-2016-04-26-10-43-12.dat.root	deuterium
387     traces-2016-04-26-11-44-01.dat.root	deuterium
